corrente LED (mA),tensione PD (mV)
2.06,18.4
4.09,49
6.02,81
8.01,112.5
10.03,142.8
12.12,173.2
14.06,196.4
16.05,218.2
18.07,237.1
19,241.9
19.9,247.4
