corrente LED (mA),tensione PD (mV)
2.06,0.9
4.09,2.5
6.02,4
8.01,5.7
10.03,6.8
12.12,8.7
14.06,9.9
16.05,11.1
18.07,12.2
19,12.6
19.9,13
