frequenza (Hz),tensione misurata (mV)
114,248
400,248
1000,248
1632,248
3305,248
5331,232
7543,212
10550,190
14620,172
17970,154
21710,140
26090,126
31890,112
41790,96
53070,80
85720,56
149800,40
217400,31
284400,26
344800,24
