frequenza (Hz),tensione misurata (mV)
100,472
200,472
500,472
1000,472
2000,472
5000,472
10000,472
20000,464
29930,452
40000,432
46780,404
53240,372
58480,336
62470,304
66540,268
69380,248
74300,216
78190,192
84150,172
91920,152
100900,128
110500,116
128400,96
149100,88
190300,72
281360,50
562200,32
