frequenza (Hz),tensione misurata (mV)
100,144
200,144
500,144
1000,144
2000,144
5000,144
10000,144
20000,144
50000,144
100000,144
200000,144
459000,136
624400,132
804700,124
840000,120
1031000,116
1239000,112
1558000,104
1815000,92
2278000,80
2473000,76
2639000,64
2928000,58
3190000,52
3437000,46
