Distanza,Intensità,errore1,errore2
0.158,2.4,0.001,0.01
0.178,2.42,0.001,0.01
0.218,2.38,0.001,0.01
0.238,2.32,0.001,0.01
0.258,2.24,0.001,0.01
0.278,2.14,0.001,0.01
0.298,2.02,0.001,0.01
0.318,1.9,0.001,0.01
0.338,1.76,0.001,0.01
0.358,1.64,0.001,0.01
0.378,1.54,0.001,0.01
0.398,1.44,0.001,0.01
0.418,1.34,0.001,0.01
0.438,1.26,0.001,0.01
0.458,1.16,0.001,0.01
0.478,1.08,0.001,0.01
0.498,1.01,0.001,0.01
0.513,0.96,0.001,0.01
0.198,2.4,0.001,0.01
0.138,2.38,0.001,0.01
0.118,2.36,0.001,0.01
0.098,2.34,0.001,0.01
0.078,2.32,0.001,0.01
0.058,2.3,0.001,0.01
0.038,2.26,0.001,0.01
0.022,2.24,0.001,0.01
