Distanza,Intensità,errore1,errore2
0.022,1.16,0.001,0.01
0.045,1.22,0.001,0.01
0.063,1.28,0.001,0.01
0.081,1.32,0.001,0.01
0.103,1.32,0.001,0.01
0.125,1.31,0.001,0.01
0.142,1.31,0.001,0.01
0.16,1.33,0.001,0.01
0.176,1.34,0.001,0.01
0.193,1.37,0.001,0.01
0.208,1.4,0.001,0.01
0.228,1.4,0.001,0.01
0.244,1.38,0.001,0.01
0.266,1.32,0.001,0.01
0.288,1.24,0.001,0.01
0.312,1.15,0.001,0.01
0.336,1.07,0.001,0.01
0.36,1.02,0.001,0.01
0.38,0.96,0.001,0.01
0.4,0.904,0.001,0.001
0.418,0.864,0.001,0.001
0.433,0.824,0.001,0.001
0.451,0.704,0.001,0.001
0.469,0.736,0.001,0.001
0.493,0.688,0.001,0.001
