corrente LED (mA),tensione PD (mV)
0,269.6
1,280.8
2,302.2
3,317.9
4,329.5
5,336.8
6,344.4
7,350
8,354.6
9,358.8
10,362
11,365.2
12,369.6
13,370.4
14,372.6
15,374.6
16,376.2
17,378
18,379.6
19,380.2
20,381
